,$d_g$,$\sigma_g$,$\sigma_{d_g}$,$\sigma_{\sigma_g}$,$N$
Average,55.24234587413894,1.5822947940332852,2.48958371820863,0.07513249324126908,
Manual reference 1,54.00637231109425,1.6348697422904508,,,1525.0
Manual reference 2,53.00528140418693,1.6359713332031312,,,1106.0
Manual reference 3,58.715383907135624,1.4760433066062737,,,864.0
