,$d_g$,$\sigma_g$,$\sigma_{d_g}$,$\sigma_{\sigma_g}$,$N$
Average,68.72099300209105,1.5683421135819158,2.5848923476243613,0.02838521288050707,
Manual reference 1,71.99814956299574,1.5447284314144212,,,325.0
Manual reference 2,68.48515715334167,1.6082625808330036,,,335.0
Manual reference 3,65.67967228993572,1.5520353284983228,,,328.0
