,$N$,$\sigma_g$,$d_g$,$\sigma_{d_g}$,$\sigma_{\sigma_g}$
Proposed method,,-0.05555936955136498,-0.08307535344427475,0.03761430437342062,0.01809886544185086
Hough transform,,-0.1050698668513822,-0.2263478365707624,0.03761430437342062,0.01809886544185086
