,$d_g$,$\sigma_g$,$\sigma_{d_g}$,$\sigma_{\sigma_g}$,$N$
Manual reference,68.72099300209105,1.5683421135819158,2.5848923476243613,0.028385212880507073,
Proposed method,63.0119722194008,1.4812060145104493,,,343.0
Hough transform,53.16614490907324,1.4035566165304485,,,423.0
