,$d_g$,$\sigma_g$,$\sigma_{d_g}$,$\sigma_{\sigma_g}$,$N$
Manual reference,55.24234587413893,1.5822947940332852,2.48958371820863,0.07513249324126907,
Proposed method,54.029180383127446,1.4829535591553713,,,2837.0
Hough transform,52.75186946443407,1.4050233268968306,,,1290.0
