,$N$,$\sigma_g$,$d_g$,$\sigma_{d_g}$,$\sigma_{\sigma_g}$
Proposed method,,-0.06278301316070956,-0.021960788808199627,0.045066582144805335,0.04748324618433181
Hough transform,,-0.11203441217460364,-0.045082741695637196,0.045066582144805335,0.04748324618433181
